,Player,Last Rank,Set W%,Game W%,Hold %,1st Serve In %,2nd Serve In %,1st Serve Won %,2nd Serve Won %,Breaking %,Break Pts Saved %,Break Pts Conv. %,Pts Won v 1st Serve %,Pts Won v 2nd Serve %,Opponent Quality,Activity,3mo Set W%,3mo Game W%,3mo Hold %,3mo 1st Serve In %,3mo 2nd Serve In %,3mo 1st Serve Won %,3mo 2nd Serve Won %,3mo Breaking %,3mo Break Pts Saved %,3mo Break Pts Conv. %,3mo Pts Won v 1st Serve %,3mo Pts Won v 2nd Serve %,3mo Opponent Quality,3mo Activity,Hard Set W%,Hard Game W%,Hard Hold %,Hard 1st Serve In %,Hard 2nd Serve In %,Hard 1st Serve Won %,Hard 2nd Serve Won %,Hard Breaking %,Hard Break Pts Saved %,Hard Break Pts Conv. %,Hard Pts Won v 1st Serve %,Hard Pts Won v 2nd Serve %,Hard Opponent Quality,Hard Activity,Hard 3mo Set W%,Hard 3mo Game W%,Hard 3mo Hold %,Hard 3mo 1st Serve In %,Hard 3mo 2nd Serve In %,Hard 3mo 1st Serve Won %,Hard 3mo 2nd Serve Won %,Hard 3mo Breaking %,Hard 3mo Break Pts Saved %,Hard 3mo Break Pts Conv. %,Hard 3mo Pts Won v 1st Serve %,Hard 3mo Pts Won v 2nd Serve %,Hard 3mo Opponent Quality,Hard 3mo Activity,Clay Set W%,Clay Game W%,Clay Hold %,Clay 1st Serve In %,Clay 2nd Serve In %,Clay 1st Serve Won %,Clay 2nd Serve Won %,Clay Breaking %,Clay Break Pts Saved %,Clay Break Pts Conv. %,Clay Pts Won v 1st Serve %,Clay Pts Won v 2nd Serve %,Clay Opponent Quality,Clay Activity,Clay 3mo Set W%,Clay 3mo Game W%,Clay 3mo Hold %,Clay 3mo 1st Serve In %,Clay 3mo 2nd Serve In %,Clay 3mo 1st Serve Won %,Clay 3mo 2nd Serve Won %,Clay 3mo Breaking %,Clay 3mo Break Pts Saved %,Clay 3mo Break Pts Conv. %,Clay 3mo Pts Won v 1st Serve %,Clay 3mo Pts Won v 2nd Serve %,Clay 3mo Opponent Quality,Clay 3mo Activity,Grass Set W%,Grass Game W%,Grass Hold %,Grass 1st Serve In %,Grass 2nd Serve In %,Grass 1st Serve Won %,Grass 2nd Serve Won %,Grass Breaking %,Grass Break Pts Saved %,Grass Break Pts Conv. %,Grass Pts Won v 1st Serve %,Grass Pts Won v 2nd Serve %,Grass Opponent Quality,Grass Activity,Grass 3mo Set W%,Grass 3mo Game W%,Grass 3mo Hold %,Grass 3mo 1st Serve In %,Grass 3mo 2nd Serve In %,Grass 3mo 1st Serve Won %,Grass 3mo 2nd Serve Won %,Grass 3mo Breaking %,Grass 3mo Break Pts Saved %,Grass 3mo Break Pts Conv. %,Grass 3mo Pts Won v 1st Serve %,Grass 3mo Pts Won v 2nd Serve %,Grass 3mo Opponent Quality,Grass 3mo Activity
0,Abedallah Shelbayh,185.0,0.32575757575757575,0.45656569503991773,0.705886789977699,0.5851692479055159,0.8775825608522324,0.6777630321442957,0.4493010784072663,0.22722025449298175,0.5529122392758756,0.3131351714239415,0.30509639534125155,0.4921810785197513,719.0,0.015068493150684932,,,,,,,,,,,,,,0.0,0.4305555555555555,0.49109552727973776,0.7879389129389129,0.6052244497825369,0.8991270089309306,0.7079011655711632,0.47962226393598933,0.22077922077922077,0.5573232323232323,0.21802054154995332,0.2975120980827006,0.5127176177992875,735.1666666666666,0.00821917808219178,,,,,,,,,,,,,,0.0,0.3333333333333333,0.4710369273567551,0.6123737373737373,0.5549518958687041,0.8639931497074355,0.6655321329234373,0.37866895009752155,0.3545454545454545,0.5793650793650794,0.5454545454545454,0.3872989503888847,0.4809195402298851,770.3333333333334,0.00410958904109589,,,,,,,,,,,,,,0.0,0.0,0.33126934984520123,0.6,0.5703296703296703,0.8333333333333333,0.6056949806949807,0.4642857142857143,0.05555555555555555,0.5,0.25,0.20454545454545453,0.447463768115942,593.5,0.0027397260273972603,,,,,,,,,,,,,,0.0
1,Adam Moundir,779.0,0.0,0.38405797101449274,0.8181818181818182,0.5135135135135135,0.8888888888888888,0.7368421052631579,0.5,0.09090909090909091,0.6,0.16666666666666666,0.2549019607843137,0.4827586206896552,386.5,0.0027397260273972603,,,,,,,,,,,,,,0.0,0.0,0.3333333333333333,,,,,,,,,,,397.0,0.0013698630136986301,,,,,,,,,,,,,,0.0,0.0,0.43478260869565216,0.8181818181818182,0.5135135135135135,0.8888888888888888,0.7368421052631579,0.5,0.09090909090909091,0.6,0.16666666666666666,0.2549019607843137,0.4827586206896552,376.0,0.0013698630136986301,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Adrian Mannarino,25.0,0.5595041322314048,0.5164853221837515,0.7926145715157039,0.6070261320493635,0.9270555296386448,0.7133523784298388,0.54102629752136,0.2509200162674081,0.5425464586778265,0.4571984677073172,0.28533204201388984,0.5156126183246813,1309.2561983471073,0.16575342465753426,,,,,,,,,,,,,,0.0,0.5693181818181817,0.5243476304389708,0.8081548948029734,0.6066178763438529,0.9358208354786478,0.7226998297031895,0.5473661153593895,0.24998130216734216,0.5327514324120659,0.4573095772790895,0.28496091870529666,0.5148855089137996,1269.7272727272727,0.12054794520547946,,,,,,,,,,,,,,0.0,0.2962962962962963,0.3998927650256372,0.6098373848373848,0.5860107532495665,0.9149723822378262,0.6318644282307088,0.4622737403500817,0.21484938672438672,0.5568272533184814,0.36041666666666666,0.259099101939713,0.5127705548758181,815.2222222222222,0.012328767123287671,,,,,,,,,,,,,,0.0,0.6222222222222221,0.5313790675155737,0.8054698580740247,0.6163698153773666,0.9001776973206089,0.7104153260250062,0.5478408258743169,0.2668130420304334,0.5701762368066716,0.49046557307426875,0.29649925306416497,0.5192838675069975,1639.4583333333333,0.03287671232876712,,,,,,,,,,,,,,0.0
3,Ainius Sabaliauskas,1783.0,1.0,0.6190476190476191,,,,,,,,,,,2.0,0.0013698630136986301,,,,,,,,,,,,,,0.0,1.0,0.6190476190476191,,,,,,,,,,,2.0,0.0013698630136986301,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Aisam Ul Haq Qureshi,,1.0,0.6355498721227621,1.0,0.5846153846153846,0.8148148148148148,0.8421052631578947,0.6296296296296297,0.09090909090909091,,0.25,0.2564102564102564,0.4594594594594595,1.0,0.0027397260273972603,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.6355498721227621,1.0,0.5846153846153846,0.8148148148148148,0.8421052631578947,0.6296296296296297,0.09090909090909091,,0.25,0.2564102564102564,0.4594594594594595,1.0,0.0027397260273972603,,,,,,,,,,,,,,0.0
5,Ajeet Rai,679.0,0.0,0.3684210526315789,,,,,,,,,,,199.0,0.0013698630136986301,,,,,,,,,,,,,,0.0,0.0,0.3684210526315789,,,,,,,,,,,199.0,0.0013698630136986301,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Alan Fernando Rubio Fierros,915.0,0.0,0.2,,,,,,,,,,,276.0,0.0013698630136986301,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.2,,,,,,,,,,,276.0,0.0013698630136986301,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Alastair Gray,288.0,0.5,0.5,0.8238095238095238,0.6358294483294483,0.8900293255131965,0.7451333813987022,0.4292521994134898,0.18382352941176472,0.7277777777777779,0.3611111111111111,0.2845779938135219,0.5032407407407408,1835.5,0.0027397260273972603,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.8238095238095238,0.6358294483294483,0.8900293255131965,0.7451333813987022,0.4292521994134898,0.18382352941176472,0.7277777777777779,0.3611111111111111,0.2845779938135219,0.5032407407407408,1835.5,0.0027397260273972603,,,,,,,,,,,,,,0.0
8,Albert Ramos,94.0,0.4225925925925925,0.48268792333527555,0.7441201841780163,0.6473515732421431,0.9334206977667052,0.6621208429975394,0.507882111616444,0.24198402748822917,0.5898977292001729,0.4322691916704522,0.2962914701840986,0.5013789751856352,1206.4,0.1232876712328767,,,,,,,,,,,,,,0.0,0.3208333333333333,0.44476375567989657,0.7272503126261297,0.627847106058728,0.9382245483281364,0.6707093127346759,0.4903915099608394,0.18820124252109546,0.5388347763347764,0.41673349798349796,0.25115406473725005,0.49749305128001914,1265.8214285714287,0.038356164383561646,,,,,,,,,,,,,,0.0,0.5008620689655172,0.5064275953671145,0.7509721425745767,0.6526993308528047,0.9361157368154467,0.6581880450559963,0.519370630288768,0.2769707722832723,0.6078070331774726,0.44599419313179817,0.3241169760083195,0.506141593286514,1108.4827586206898,0.07945205479452055,,,,,,,,,,,,,,0.0,0.0,0.40393185246126423,0.7586384204031262,0.7014642413756024,0.8619166402702988,0.6611742424242424,0.4593601520430789,0.0748663101604278,0.6793650793650793,0.3333333333333333,0.1974991224991225,0.4585509990858038,2210.25,0.005479452054794521,,,,,,,,,,,,,,0.0
9,Alec Beckley,687.0,0.3333333333333333,0.42857142857142855,,,,,,,,,,,48.0,0.0013698630136986301,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
